total_units,sf_per_unit,year_built,occupancy,in_place_rent,market_rent,noi_per_unit,property_class_encoded,market_cap_rate,median_income,population_millions,unemployment_rate,mortgage_rate,cpi_yoy_inflation,housing_starts,rental_vacancy_rate,treasury_spread,median_rent_census,value_per_unit,market,property_type,source
340,972,2020,0.97,2250,2410,15750,3,5.05,90000,2.3,2.8,6.75,3.2,1420,5.8,0.45,2100,312000,Indianapolis IN,Multifamily,NCREIF_calibrated
150,808,1990,0.90,1420,1580,9372,1,5.80,59000,2.3,4.6,6.75,3.2,1420,5.8,0.45,1320,161600,Indianapolis IN,Multifamily,NCREIF_calibrated
460,1040,2016,0.96,2900,3100,20300,2,5.10,100000,7.1,3.2,6.75,3.2,1420,5.8,0.45,2700,397800,Portland OR,Multifamily,NCREIF_calibrated
280,940,2005,0.94,2500,2680,16500,2,5.35,90000,7.1,3.7,6.75,3.2,1420,5.8,0.45,2300,308600,Portland OR,Multifamily,NCREIF_calibrated
200,890,1999,0.92,2100,2280,13860,2,5.65,78000,7.1,4.1,6.75,3.2,1420,5.8,0.45,1950,245100,Portland OR,Multifamily,NCREIF_calibrated
150,840,1988,0.89,1750,1930,11550,1,6.00,66000,7.1,4.7,6.75,3.2,1420,5.8,0.45,1600,192500,Portland OR,Multifamily,NCREIF_calibrated
360,990,2019,0.97,3200,3420,22400,3,4.90,112000,7.1,2.7,6.75,3.2,1420,5.8,0.45,2900,457100,Portland OR,Multifamily,NCREIF_calibrated
100,768,1976,0.87,1600,1820,10080,1,5.90,62000,7.1,5.0,6.75,3.2,1420,5.8,0.45,1470,170800,Portland OR,Multifamily,NCREIF_calibrated
250,928,2007,0.94,2300,2480,15180,2,5.30,84000,7.1,3.7,6.75,3.2,1420,5.8,0.45,2100,286400,Portland OR,Multifamily,NCREIF_calibrated
180,878,2001,0.92,1950,2120,12870,2,5.55,74000,7.1,4.2,6.75,3.2,1420,5.8,0.45,1800,231900,Portland OR,Multifamily,NCREIF_calibrated
320,968,2018,0.96,2750,2960,19250,3,5.00,98000,7.1,3.0,6.75,3.2,1420,5.8,0.45,2550,385000,Portland OR,Multifamily,NCREIF_calibrated
220,908,2003,0.93,2200,2380,14520,2,5.45,80000,7.1,3.9,6.75,3.2,1420,5.8,0.45,2000,266500,Portland OR,Multifamily,NCREIF_calibrated
380,998,2013,0.95,2200,2370,14960,2,5.30,82000,2.7,3.4,6.75,3.2,1420,5.8,0.45,2020,282300,Kansas City MO,Multifamily,NCREIF_calibrated
220,882,2002,0.93,1700,1850,11220,2,5.60,66000,2.7,4.0,6.75,3.2,1420,5.8,0.45,1570,200400,Kansas City MO,Multifamily,NCREIF_calibrated
160,840,1992,0.90,1420,1580,9372,1,5.95,57000,2.7,4.7,6.75,3.2,1420,5.8,0.45,1310,157300,Kansas City MO,Multifamily,NCREIF_calibrated
290,950,2016,0.96,1980,2120,13464,3,5.25,80000,2.7,3.1,6.75,3.2,1420,5.8,0.45,1840,256500,Kansas City MO,Multifamily,NCREIF_calibrated
105,762,1979,0.88,1200,1370,7920,1,6.10,50000,2.7,5.4,6.75,3.2,1420,5.8,0.45,1110,129800,Kansas City MO,Multifamily,NCREIF_calibrated
245,912,2006,0.94,1780,1920,11748,2,5.45,68000,2.7,3.9,6.75,3.2,1420,5.8,0.45,1650,215600,Kansas City MO,Multifamily,NCREIF_calibrated
175,842,1997,0.91,1500,1660,9900,1,5.80,60000,2.7,4.5,6.75,3.2,1420,5.8,0.45,1390,170700,Kansas City MO,Multifamily,NCREIF_calibrated
335,965,2019,0.97,2150,2310,15050,3,5.10,85000,2.7,2.9,6.75,3.2,1420,5.8,0.45,1990,295100,Kansas City MO,Multifamily,NCREIF_calibrated
195,866,2003,0.93,1600,1750,10560,2,5.50,63000,2.7,4.2,6.75,3.2,1420,5.8,0.45,1480,192000,Kansas City MO,Multifamily,NCREIF_calibrated
145,805,1989,0.90,1360,1520,8976,1,5.85,56000,2.7,4.8,6.75,3.2,1420,5.8,0.45,1260,153500,Kansas City MO,Multifamily,NCREIF_calibrated
420,1025,2015,0.96,2650,2840,18375,2,5.20,88000,2.1,3.4,6.75,3.2,1420,5.8,0.45,2430,353400,Cincinnati OH,Multifamily,NCREIF_calibrated
250,910,2004,0.93,1900,2060,12540,2,5.50,74000,2.1,4.0,6.75,3.2,1420,5.8,0.45,1750,228000,Cincinnati OH,Multifamily,NCREIF_calibrated
180,860,1997,0.91,1580,1740,10428,2,5.75,63000,2.1,4.5,6.75,3.2,1420,5.8,0.45,1460,181400,Cincinnati OH,Multifamily,NCREIF_calibrated
130,802,1987,0.89,1350,1510,8910,1,6.05,56000,2.1,4.9,6.75,3.2,1420,5.8,0.45,1250,147300,Cincinnati OH,Multifamily,NCREIF_calibrated
320,965,2018,0.96,2080,2240,14280,3,5.25,84000,2.1,3.0,6.75,3.2,1420,5.8,0.45,1930,272000,Cincinnati OH,Multifamily,NCREIF_calibrated
95,755,1977,0.87,1180,1360,7434,1,6.15,50000,2.1,5.5,6.75,3.2,1420,5.8,0.45,1100,121000,Cincinnati OH,Multifamily,NCREIF_calibrated
265,922,2007,0.94,1770,1910,11682,2,5.45,70000,2.1,4.0,6.75,3.2,1420,5.8,0.45,1640,214600,Cincinnati OH,Multifamily,NCREIF_calibrated
185,858,2000,0.92,1600,1760,10560,2,5.65,64000,2.1,4.4,6.75,3.2,1420,5.8,0.45,1480,186900,Cincinnati OH,Multifamily,NCREIF_calibrated
350,978,2020,0.97,2300,2470,16100,3,5.10,90000,2.1,2.8,6.75,3.2,1420,5.8,0.45,2130,315700,Cincinnati OH,Multifamily,NCREIF_calibrated
155,812,1991,0.90,1440,1610,9504,1,5.80,59000,2.1,4.6,6.75,3.2,1420,5.8,0.45,1330,163900,Cincinnati OH,Multifamily,NCREIF_calibrated
440,1032,2014,0.96,2800,3000,19600,2,5.15,95000,4.7,3.3,6.75,3.2,1420,5.8,0.45,2600,381000,San Antonio TX,Multifamily,NCREIF_calibrated
260,918,2003,0.93,2000,2160,13200,2,5.45,76000,4.7,4.0,6.75,3.2,1420,5.8,0.45,1850,242300,San Antonio TX,Multifamily,NCREIF_calibrated
190,862,1997,0.91,1650,1810,10890,2,5.70,65000,4.7,4.5,6.75,3.2,1420,5.8,0.45,1530,191200,San Antonio TX,Multifamily,NCREIF_calibrated
140,805,1986,0.89,1380,1550,9108,1,6.00,57000,4.7,4.9,6.75,3.2,1420,5.8,0.45,1280,151800,San Antonio TX,Multifamily,NCREIF_calibrated
330,972,2018,0.96,2250,2420,15750,3,5.20,88000,4.7,3.0,6.75,3.2,1420,5.8,0.45,2100,302900,San Antonio TX,Multifamily,NCREIF_calibrated
100,760,1977,0.88,1200,1380,7920,1,6.10,51000,4.7,5.4,6.75,3.2,1420,5.8,0.45,1120,129800,San Antonio TX,Multifamily,NCREIF_calibrated
270,930,2007,0.94,1850,1990,12210,2,5.40,72000,4.7,3.9,6.75,3.2,1420,5.8,0.45,1710,226100,San Antonio TX,Multifamily,NCREIF_calibrated
200,878,2001,0.92,1700,1860,11220,2,5.60,67000,4.7,4.2,6.75,3.2,1420,5.8,0.45,1580,200400,San Antonio TX,Multifamily,NCREIF_calibrated
360,980,2020,0.97,2450,2630,17150,3,5.05,94000,4.7,2.8,6.75,3.2,1420,5.8,0.45,2270,339600,San Antonio TX,Multifamily,NCREIF_calibrated
160,818,1991,0.90,1450,1620,9570,1,5.80,60000,4.7,4.6,6.75,3.2,1420,5.8,0.45,1360,165000,San Antonio TX,Multifamily,NCREIF_calibrated
